t_s,soc_p5,soc_p50,soc_p95
5.200000000000000000e+02,8.610965735112851016e-01,8.620283892068398846e-01,8.626663866399162384e-01
5.250000000000000000e+02,8.598612469930525526e-01,8.608018950914253509e-01,8.614459296753395057e-01
5.300000000000000000e+02,8.586274589083108255e-01,8.595769378050368559e-01,8.602270082598704182e-01
5.350000000000000000e+02,8.573951990807832102e-01,8.583535072180743519e-01,8.590096122958728042e-01
5.400000000000000000e+02,8.561644573842904782e-01,8.571315932510692459e-01,8.577937317358584890e-01
5.450000000000000000e+02,8.549352237428016199e-01,8.559111858747301405e-01,8.565793565825295941e-01
5.500000000000000000e+02,8.537074881304735907e-01,8.546922751099745863e-01,8.553664768888051828e-01
5.550000000000000000e+02,8.524812405716760688e-01,8.534748510279486222e-01,8.541550827578383576e-01
5.600000000000000000e+02,8.512564711410031126e-01,8.522589037500339915e-01,8.529451643430175922e-01
5.650000000000000000e+02,8.500331699632741600e-01,8.510444234478422576e-01,8.517367118479588495e-01
5.700000000000000000e+02,8.488113272135228149e-01,8.498314003431990393e-01,8.505297155264862630e-01
5.750000000000000000e+02,8.475909331169746430e-01,8.486198247081175872e-01,8.493241656826010511e-01
5.800000000000000000e+02,8.463719779490147532e-01,8.474096868647609249e-01,8.481200526704425480e-01
5.850000000000000000e+02,8.451544520351463863e-01,8.462009771853962192e-01,8.469173668942383548e-01
5.900000000000000000e+02,8.439383457509392894e-01,8.449936860923397131e-01,8.457160988082460529e-01
5.950000000000000000e+02,8.427236495219692092e-01,8.437878040578912220e-01,8.445162389166871453e-01
6.000000000000000000e+02,8.415103538237501679e-01,8.425833216042637464e-01,8.433177777736707847e-01
6.050000000000000000e+02,8.402984491816577473e-01,8.413802293035014257e-01,8.421207059831128383e-01
6.100000000000000000e+02,8.390879261708454884e-01,8.401785177773944957e-01,8.409250141986456262e-01
6.150000000000000000e+02,8.378787754161530765e-01,8.389781776973831429e-01,8.397306931235219984e-01
6.200000000000000000e+02,8.366709875920097517e-01,8.377791997844575844e-01,8.385377335105111962e-01
6.250000000000000000e+02,8.354645534223292813e-01,8.365815748090508208e-01,8.373461261617910489e-01
6.300000000000000000e+02,8.342594636803997155e-01,8.353852935909253929e-01,8.361558619288316230e-01
6.350000000000000000e+02,8.330557091887671461e-01,8.341903469990548103e-01,8.349669317122764278e-01
6.400000000000000000e+02,8.318532808191148042e-01,8.329967259514989841e-01,8.337793264618149625e-01
