t_s,soc,temp_k,soh,v_term,v_ocv,current_a,p_screen,p_cpu,p_wifi,p_gps,p_net,p_load,p_charge,p_total,p_heat,label
165.0,0.757204238998658,311.5162634658671,0.9999824551232803,3.6995389246543366,3.9785321628272494,5.29502140846955,2.2222594701710623,17.186697594488333,0.1,0.5,0.09999956618911117,20.009041263193815,0.0,20.00895446179406,20.4662285399589,SOH=1.0
170.0,0.7548195458399569,311.51708239921186,0.9999819475552642,3.697453304261285,3.976625493596482,5.297772784360985,2.2222589992471264,17.186253832109124,0.1,0.5,0.09999954499798115,20.008601140883275,0.0,20.008510101344136,20.46709131888415,SOH=1.0
175.0,0.7524393681462137,311.51783616085714,0.9999814404822,3.695373769627952,3.974726620222728,5.300527094900149,2.222258506277197,17.185844833142728,0.1,0.5,0.09999952281480241,20.008195952458127,0.0,20.008100476308744,20.467995742887112,SOH=1.0
180.0,0.7500635107567976,311.5185417262338,0.9999809339033117,3.6933004143222345,3.9728353272489225,5.303281945846424,2.222257990234297,17.185461484391396,0.1,0.5,0.09999949959336189,20.00781659262824,0.0,20.007716472185862,20.46893148748359,SOH=1.0
185.0,0.747691822587913,311.51921170599525,0.9999804278180711,3.691233297373965,3.9709514382526017,5.306035577526008,2.2222574500517815,17.18509701106558,0.1,0.5,0.09999947528566157,20.007456294823267,0.0,20.00735131283133,20.46989090114362,SOH=1.0
190.0,0.7453241852153265,311.5198554703379,0.9999799222261351,3.689172450109045,3.9690748060765433,5.308786701630792,2.2222568846204207,17.184746375197655,0.1,0.5,0.09999944984178717,20.007110029627775,0.0,20.0069999588688,20.47086831814711,SOH=1.0
195.0,0.7429605044224805,311.52047998382903,0.9999794171272952,3.6871178818126378,3.967205305598673,5.311534379829323,2.222256292785623,17.18440582861292,0.1,0.5,0.09999942320978322,20.006774057772702,0.0,20.006658660657244,20.471859547910928,SOH=1.0
200.0,0.7406007039441403,311.5210904252423,0.9999789125214432,3.685069584375992,3.965342828378103,5.3142779335014945,2.222255673344759,17.1840725808194,0.1,0.5,0.09999939533553248,20.006445598045104,0.0,20.00632462617736,20.47286149554455,SOH=1.0
205.0,0.7382447208354745,311.5216906477433,0.9999784084085427,3.683027536077763,3.96348727868748,5.317016876631919,2.222255025044536,17.183744552313996,0.1,0.5,0.09999936616263795,20.00612258061397,0.0,20.00599577433436,20.47387187995844,SOH=1.0
210.0,0.7358925020443946,311.5222835205319,0.9999779047886118,3.680991704639041,3.961638570569779,5.319750865930284,2.222254346578389,17.18342019135805,0.1,0.5,0.09999933563230556,20.0058034638255,0.0,20.005670551730276,20.474889024471853,SOH=1.0
215.0,0.7335440018746077,311.5228711824657,0.9999774016617072,3.6789620496759974,3.9597966256522974,5.322479663763452,2.222253636583872,17.183098337905832,0.1,0.5,0.0999993036832264,20.005487098151374,0.0,20.005347796589064,20.475911701291263,SOH=1.0
220.0,0.731199180107968,311.52345523033733,0.9999768990279136,3.6769385246576567,3.9579613715203936,5.325203110613815,2.2222528936400026,17.182778122557202,0.1,0.5,0.09999927025145769,20.00517262516157,0.0,20.005026637705953,20.4769390160105,SOH=1.0
225.0,0.7288580006148163,311.52403685863703,0.999976396887336,3.67492107846036,3.956132740505152,5.327921104619775,2.222252116264576,17.18245889152272,0.1,0.5,0.09999923527030156,20.00485940251009,0.0,20.004706419409107,20.477970321840353,SOH=1.0
230.0,0.7265204303255107,311.52461696329647,0.9999758952400941,3.6729096565957056,3.9543106687772385,5.330633586380987,2.222251302911395,17.182140150906758,0.1,0.5,0.09999919867018067,20.00454694823916,0.0,20.00438664583924,20.479005155921342,SOH=1.0
235.0,0.7241864384692541,311.52519621869936,0.9999753940863167,3.6709042021757785,3.952495095667364,5.333340527676088,2.2222504519674384,17.181821525333852,0.1,0.5,0.09999916037851057,20.004234899427367,0.0,20.00406693957236,20.48004319203592,SOH=1.0
240.0,0.7218559960107535,311.52577513484187,0.9999748934261417,3.668904656667956,3.95068596315454,5.336041923088478,2.2222495617499267,17.181502727226096,0.1,0.5,0.09999912031956783,20.003922981489573,0.0,20.00374701089343,20.481084205501254,SOH=1.0
245.0,0.7195290752332809,311.52635409976244,0.9999743932597096,3.6669109604820544,3.9488832154787006,5.3387377837926095,2.2222486305033,17.181183533987593,0.1,0.5,0.09999907841435379,20.003610985384583,0.0,20.003426634977014,20.48212804710662,SOH=1.0
250.0,0.7172056494300799,311.52693341103407,0.9999738935871646,3.664923053424368,3.947086798845575,5.34142813294577,2.222247656396079,17.18086377105995,0.1,0.5,0.09999903458045373,20.0032987506948,0.0,20.003105634938755,20.483174623767805,SOH=1.0
255.0,0.7148856926759294,311.5275132991408,0.999973394408653,3.662940875046498,3.945296661200072,5.344113002272118,2.2222466375176126,17.180543299335188,0.1,0.5,0.09999898873189014,20.00298615306413,0.0,20.00278386924414,20.48422388416813,SOH=1.0
260.0,0.7125691796580363,311.52809394482915,0.9999728957243224,3.6609643649112527,3.9435127520506463,5.346792429532456,2.222245571874707,17.180222005803802,0.1,0.5,0.09999894077897119,20.002673094872087,0.0,20.002461222352345,20.485275808102685,SOH=1.0
265.0,0.7102560855508263,311.52867549198686,0.9999723975343197,3.6589934627934553,3.941735022331657,5.349466456651716,2.2222444573881135,17.179899796604406,0.1,0.5,0.09999889062813265,20.0023594983104,0.0,20.00213759776132,20.48633039857226,SOH=1.0
270.0,0.7079463859232015,311.52925805720434,0.999971899838793,3.6570281088298313,3.939963424294127,5.352135128334413,2.2222432918888866,17.179576591854914,0.1,0.5,0.09999883818177405,20.00204530024231,0.0,20.001812912834446,20.48738767591792,SOH=1.0
275.0,0.7056400566698335,311.52984173687145,0.9999714026378893,3.6550682436291626,3.9381979114178,5.354798491042485,2.2222420731145918,17.179252321806707,0.1,0.5,0.09999878333808794,20.00173044838595,0.0,20.00148709494983,20.48844767347124,SOH=1.0
280.0,0.7033370739602369,311.5304266124468,0.9999709059317553,3.6531138083515775,3.9364384383392217,5.35745659224187,2.2222407987053634,17.178926923980313,0.1,0.5,0.09999872599088269,20.001414898480373,0.0,20.00116007863097,20.489510434329738,SOH=1.0
285.0,0.7010374142009833,311.53101275437086,0.9999704097205374,3.651164744763968,3.9346849607919583,5.3601094798479885,2.222239466199805,17.1786003410285,0.1,0.5,0.09999866602939776,20.001098612180307,0.0,20.000831803404694,20.490576008966492,SOH=1.0
290.0,0.69874105400766,311.53160022497093,0.9999699140043808,3.649220995276957,3.932937435556043,5.36275720181913,2.22223807303072,17.178272519140442,0.1,0.5,0.09999860333811168,20.000781555493187,0.0,20.00050221219984,20.491644453460783,SOH=1.0
295.0,0.6964479701840117,311.53218908061996,0.999969418783431,3.64728250296776,3.931195820414511,5.365399805858668,2.222236616520667,17.177943406845472,0.1,0.5,0.09999853779654222,20.00046369761716,0.0,20.000171250145396,20.492715828187674,SOH=1.0
300.0,0.6941581397064229,311.5327793733399,0.9999689240578321,3.645349211592244,3.929460074115416,5.368037339198239,2.222235093877343,17.177612954114455,0.1,0.5,0.09999846927903837,20.00014501007806,0.0,19.99983886366603,20.49379019684993,SOH=1.0
305.0,0.6918715397123276,311.53337115199406,0.9999684298277272,3.6434210655888135,3.9277301563381406,5.370669848440258,2.222233502188771,17.17728111168061,0.1,0.5,0.09999839765456385,19.99982546608736,0.0,19.99950499979677,20.494867625762772,SOH=1.0
310.0,0.6895881474915305,311.5339644631748,0.9999679360932608,3.6414980100761567,3.926006027663092,5.373297379444169,2.222231838418291,17.17694783052295,0.1,0.5,0.09999832278647197,19.999505040064143,0.0,19.99916960566007,20.495948183326252,SOH=1.0
315.0,0.6873079404797009,311.5345593518621,0.9999674428545747,3.639579990846393,3.924287649544136,5.375919977245108,2.222230099399352,17.176613061470995,0.1,0.5,0.09999824453227085,19.999183707280046,0.0,19.99883262806397,20.497031939638248,SOH=1.0
320.0,0.6850308962534409,311.53515586191673,0.999966950111812,3.6376669543548714,3.9225749842832425,5.378537685995718,2.2222282818300876,17.17627675489736,0.1,0.5,0.09999816274337968,19.998861443593594,0.0,19.998494013187727,20.498118966209557,SOH=1.0
