t_s,soc_p5,soc_p50,soc_p95
9.750000000000000000e+02,6.894898768786996701e-01,6.986226231115104657e-01,7.042796878882294775e-01
9.800000000000000000e+02,6.884634216176709343e-01,6.975819604624234893e-01,7.032323457012796819e-01
9.850000000000000000e+02,6.874377461905767372e-01,6.965420828042252488e-01,7.021857914602375184e-01
9.900000000000000000e+02,6.864128448761023238e-01,6.955029843536231215e-01,7.011400193548109616e-01
9.950000000000000000e+02,6.853887119876431733e-01,6.944646593622859632e-01,7.000950236097819301e-01
1.000000000000000000e+03,6.843653418730997195e-01,6.934271021166376059e-01,6.990507984848001177e-01
1.005000000000000000e+03,6.833427289146760675e-01,6.923903069376573516e-01,6.980073382741827093e-01
1.010000000000000000e+03,6.823208675286801528e-01,6.913542681806784662e-01,6.969646373067156508e-01
1.015000000000000000e+03,6.812997521653264554e-01,6.903189802351885618e-01,6.959226899454500348e-01
1.020000000000000000e+03,6.802793773085370477e-01,6.892844375246306443e-01,6.948814905875048131e-01
1.025000000000000000e+03,6.792597374757455286e-01,6.882506345062076036e-01,6.938410336638707321e-01
1.030000000000000000e+03,6.782408272177024022e-01,6.872175656706829283e-01,6.928013136392131566e-01
1.035000000000000000e+03,6.772226411182813433e-01,6.861852255421887481e-01,6.917623250116762268e-01
1.040000000000000000e+03,6.762051737942850194e-01,6.851536086780313228e-01,6.907240623126904566e-01
1.045000000000000000e+03,6.751884198952560201e-01,6.841227096684971976e-01,6.896865201067789997e-01
1.050000000000000000e+03,6.741723741032845663e-01,6.830925231366623551e-01,6.886496929913643594e-01
1.055000000000000000e+03,6.731570311328189948e-01,6.820630437382029232e-01,6.876135755965805396e-01
1.060000000000000000e+03,6.721423857304805738e-01,6.810342661612054371e-01,6.865781625850824188e-01
1.065000000000000000e+03,6.711284326748724327e-01,6.800061851259766588e-01,6.855434486518565684e-01
1.070000000000000000e+03,6.701151667763977082e-01,6.789787953848602786e-01,6.845094285240360676e-01
1.075000000000000000e+03,6.691025828770741368e-01,6.779520917220493992e-01,6.834760969607120984e-01
1.080000000000000000e+03,6.680906758503492027e-01,6.769260689534017938e-01,6.824434487527499815e-01
1.085000000000000000e+03,6.670794406009190602e-01,6.759007219262571642e-01,6.814114787226080994e-01
1.090000000000000000e+03,6.660688720645485672e-01,6.748760455192546193e-01,6.803801817241493799e-01
1.095000000000000000e+03,6.650589652078886527e-01,6.738520346421503771e-01,6.793495526424644382e-01
1.100000000000000000e+03,6.640497150283014571e-01,6.728286842356390185e-01,6.783195863936893888e-01
1.105000000000000000e+03,6.630411165536792550e-01,6.718059892711741865e-01,6.772902779248262117e-01
1.110000000000000000e+03,6.620331648422701498e-01,6.707839447507915054e-01,6.762616222135664490e-01
1.115000000000000000e+03,6.610258549825019925e-01,6.697625457069302790e-01,6.752336142681103492e-01
1.120000000000000000e+03,6.600191820928082986e-01,6.687417872022591858e-01,6.742062491269947833e-01
1.125000000000000000e+03,6.590131413214554978e-01,6.677216643295018628e-01,6.731795218589161633e-01
1.130000000000000000e+03,6.580077278463712931e-01,6.667021722112629334e-01,6.721534275625561383e-01
1.135000000000000000e+03,6.570029368749739085e-01,6.656833059998557012e-01,6.711279613664106192e-01
1.140000000000000000e+03,6.559987636440017811e-01,6.646650608771322855e-01,6.701031184286158071e-01
1.145000000000000000e+03,6.549952034193455841e-01,6.636474320543112038e-01,6.690788939367798838e-01
1.150000000000000000e+03,6.539922514958806943e-01,6.626304147718118376e-01,6.680552831078125919e-01
1.155000000000000000e+03,6.529899031973015466e-01,6.616140042990832359e-01,6.670322811877559266e-01
1.160000000000000000e+03,6.519881538759561002e-01,6.605981959344400245e-01,6.660098834516174904e-01
1.165000000000000000e+03,6.509869989126819689e-01,6.595829850048944287e-01,6.649880852032052925e-01
1.170000000000000000e+03,6.499864337166427752e-01,6.585683668659941814e-01,6.639668817749616592e-01
1.175000000000000000e+03,6.489864537251678334e-01,6.575543369016572104e-01,6.629462685277973666e-01
1.180000000000000000e+03,6.479870544035899460e-01,6.565408905240102122e-01,6.619262408509316575e-01
1.185000000000000000e+03,6.469882312450868644e-01,6.555280231732271146e-01,6.609067941617282615e-01
1.190000000000000000e+03,6.459899797705228597e-01,6.545157303173687602e-01,6.598879239055363000e-01
1.195000000000000000e+03,6.449922955282904047e-01,6.535040074522235898e-01,6.588696255555278603e-01
1.200000000000000000e+03,6.439951740941550762e-01,6.524928501011508786e-01,6.578518946125412326e-01
1.205000000000000000e+03,6.429986110710993463e-01,6.514793651096379978e-01,6.568347266049231470e-01
1.210000000000000000e+03,6.420026020891691498e-01,6.504621274773401129e-01,6.558181170883700117e-01
1.215000000000000000e+03,6.410064960086125918e-01,6.494454406380145706e-01,6.548020616457750354e-01
1.220000000000000000e+03,6.400106217469400116e-01,6.484293001923735478e-01,6.537865558870723515e-01
1.225000000000000000e+03,6.390152884051156779e-01,6.474137017679905126e-01,6.527715954490835859e-01
1.230000000000000000e+03,6.380204917157702438e-01,6.463986410191464582e-01,6.517571759953654231e-01
1.235000000000000000e+03,6.370262274378546419e-01,6.453841136266819101e-01,6.507432932160583938e-01
1.240000000000000000e+03,6.360324913564892046e-01,6.443701152978447144e-01,6.497299428277369948e-01
1.245000000000000000e+03,6.350392792828205568e-01,6.433566417661400472e-01,6.487171205732590318e-01
1.250000000000000000e+03,6.340465870538753990e-01,6.423436887911841975e-01,6.477048222216182927e-01
1.255000000000000000e+03,6.330544105324126258e-01,6.413312521585565751e-01,6.466930435677982203e-01
1.260000000000000000e+03,6.320627456067841043e-01,6.403193276796536049e-01,6.456817804326233645e-01
1.265000000000000000e+03,6.310715881907901226e-01,6.393079111915458412e-01,6.446710286626161635e-01
1.270000000000000000e+03,6.300809342235406119e-01,6.382969985568318627e-01,6.436607841298530586e-01
1.275000000000000000e+03,6.290907796693113729e-01,6.372865856634957193e-01,6.426510427318201657e-01
1.280000000000000000e+03,6.281011205174082956e-01,6.362766684247669335e-01,6.416418003912719437e-01
1.285000000000000000e+03,6.271119527820270267e-01,6.352672427789789467e-01,6.406330530560909731e-01
1.290000000000000000e+03,6.261232725021176337e-01,6.342583046894287868e-01,6.396247966991449596e-01
1.295000000000000000e+03,6.251350757412486026e-01,6.332498501442400674e-01,6.386170273181520640e-01
1.300000000000000000e+03,6.241473585874708352e-01,6.322418751562239869e-01,6.376097409355405699e-01
1.305000000000000000e+03,6.231640226323531540e-01,6.312343757627456586e-01,6.366029335983122150e-01
1.310000000000000000e+03,6.221824102285795632e-01,6.302273480255848881e-01,6.355966013779070778e-01
1.315000000000000000e+03,6.212012670989094376e-01,6.292207880308056112e-01,6.345907403700680183e-01
1.320000000000000000e+03,6.202205894492313076e-01,6.282146918886207798e-01,6.335853466947072299e-01
1.325000000000000000e+03,6.192403735092134598e-01,6.272090557332592464e-01,6.325804164957744558e-01
1.330000000000000000e+03,6.182606155321753727e-01,6.262038757228380881e-01,6.315759459411230958e-01
1.335000000000000000e+03,6.172813117949629280e-01,6.251991480392289358e-01,6.305719312223819761e-01
1.340000000000000000e+03,6.163024585978195136e-01,6.241948688879317420e-01,6.295683685548240094e-01
1.345000000000000000e+03,6.153240522642627885e-01,6.231916855341086414e-01,6.285652541772381863e-01
1.350000000000000000e+03,6.143460891409616709e-01,6.221914612289356494e-01,6.275632707104198404e-01
1.355000000000000000e+03,6.133685655976121032e-01,6.211916751756763055e-01,6.265619014656219621e-01
1.360000000000000000e+03,6.123914780268154834e-01,6.201923236860028554e-01,6.255609696303544576e-01
1.365000000000000000e+03,6.114148228439595378e-01,6.191934030945620560e-01,6.245604715396655404e-01
1.370000000000000000e+03,6.104385964870965298e-01,6.181949097588556041e-01,6.235604035514881183e-01
1.375000000000000000e+03,6.094627954168271300e-01,6.171968400591189008e-01,6.225607620465136716e-01
1.380000000000000000e+03,6.084874161161810679e-01,6.161991903981993701e-01,6.215615434280735707e-01
1.385000000000000000e+03,6.075124550905015575e-01,6.152034543111031262e-01,6.205627441220178397e-01
1.390000000000000000e+03,6.065379088673303887e-01,6.142100091965584374e-01,6.195643605765966955e-01
1.395000000000000000e+03,6.055637739962917987e-01,6.132169745060233046e-01,6.185663892623410876e-01
1.400000000000000000e+03,6.045900470489827816e-01,6.122243467448821308e-01,6.175688266719469022e-01
1.405000000000000000e+03,6.036167246188565150e-01,6.112321224405224962e-01,6.165716693201563903e-01
1.410000000000000000e+03,6.026438033211157785e-01,6.102402981422210271e-01,6.155749137436464791e-01
1.415000000000000000e+03,6.016712797925999334e-01,6.092488704210310413e-01,6.145785565009111995e-01
1.420000000000000000e+03,6.006991506916766754e-01,6.082578358696710819e-01,6.135825941721521071e-01
1.425000000000000000e+03,5.997274126981351206e-01,6.072671911024127844e-01,6.125870233591624858e-01
1.430000000000000000e+03,5.987560625130781133e-01,6.062769327549741849e-01,6.115918406852195455e-01
1.435000000000000000e+03,5.977850968588171998e-01,6.052870574844088081e-01,6.105970427949729551e-01
1.440000000000000000e+03,5.968145124787663791e-01,6.042975619689990863e-01,6.096026263543349311e-01
1.445000000000000000e+03,5.958443061373414062e-01,6.033084429081511102e-01,6.086085880503764312e-01
